title,year,source,season
Dragon Ball Z,1990,manga,winter
Maroko,1990,original,winter
Akuma-kun,1990,manga,winter
Hai! Akko desu,1990,unknown,winter
Obocchama-kun,1990,manga,winter
Tistou Midori no Oyayubi,1990,original,winter
Manga Nippon Mukashibanashi (1976),1990,unknown,winter
Konchuu Monogatari Minashigo Hutch (1989),1990,unknown,winter
Dash! Yonkurou,1990,manga,winter
Ranma ½,1990,manga,winter
Doraemon (1979),1990,manga,winter
Aoi Blink,1990,other,winter
Mahoutsukai Sally 2,1990,manga,winter
Miracle Giants Doumu-kun,1990,manga,winter
Heisei Tensai Bakabon,1990,original,winter
Mahoutsukai Sally (Movie),1990,manga,winter
Seton Doubutsuki,1990,unknown,winter
Watashi no Ashinaga Ojisan,1990,novel,winter
Chibi Maruko-chan,1990,manga,winter
Time Travel Tondekeman!,1990,original,winter
Kidou Keisatsu Patlabor: On Television,1990,original,winter
Shin Bikkuriman,1990,other,winter
Manga Hajimete Omoshiro Juku,1990,unknown,winter
Chinpui: Eri-sama Katsudou Daishashin,1990,unknown,winter
Noobow: Kieta Medal,1990,unknown,winter
Kotowaza House,1990,unknown,winter
Momotarou Densetsu,1990,game,winter
Warau Salesman Dai SP-banashi,1990,manga,winter
Parasol Henbei,1990,unknown,winter
Gdleen,1990,light_novel,winter
Akuma-kun: Youkoso Akuma Land e!!,1990,unknown,winter
Tsuruhime Ja!,1990,manga,winter
Chinpui,1990,manga,winter
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,1990,other,winter
Be-Bop Highschool,1990,manga,winter
Doraemon Movie 11: Nobita to Animal Planet,1990,unknown,winter
Shin Captain Tsubasa,1990,manga,winter
Yawara!,1990,manga,winter
Dragon Quest: Yuusha Abel Densetsu,1990,game,winter
Bubblegum Crisis,1990,original,winter
Warau Salesman,1990,manga,winter
Jungle Book Shounen Mowgli,1990,book,winter
Sol Bianca,1990,original,winter
Sazae-san,1990,4_koma_manga,winter
Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,1990,manga,winter
Devilman: Yochou Sirene-hen,1990,manga,winter
Kyattou Ninden Teyandee,1990,original,winter
Umezu Kazuo no Noroi,1990,manga,winter
Kumo no You ni Kaze no You ni,1990,novel,winter
Sore Ike! Anpanman,1990,picture_book,winter
Dirty Pair: Bouryaku no 005-bin,1990,light_novel,winter
Madou King Granzort,1990,original,winter
Yuusha Exkaiser,1990,original,winter
3 Choume no Tama: Uchi no Tama Shirimasen ka?,1990,other,winter
Jungle Taitei (1989),1990,manga,winter
Oishinbo,1990,manga,winter
Kiteretsu Daihyakka,1990,manga,winter
Idol Densetsu Eriko,1990,original,winter
Satsujin Kippu wa Heart-iro,1990,novel,winter
Goro-chan,1990,original,winter
Ichiendama no Tabigarasu,1990,original,winter
Super Real Mahjong: Kasumi Miki Shouko no Hajimemashite,1990,game,winter
Kidou Senshi SD Gundam Mk-III,1990,original,winter
Hana no Asukagumi! 2: Lonely Cats Battle Royale,1990,manga,winter
Kimama ni Idol,1990,manga,winter
Ankoku Shindenshou Takegami,1990,original,winter
Eguchi Hisashi no Nantoka Narudesho!,1990,manga,winter
